exp_name	num_models	model_groups_num	num_devices	num_devices_per_node	mem_budget	total_rate	rate_distribution	arrival_process	arrival_process_kwargs	slo_scale	duration	policy_name	placement	goodput	mode	solver_time
goodput_vs_num_devices	12	2	4	4	13958643712	-1	None	azure_v1	{'rate_scale': 0.005, 'cv_scale': 4, 'trace_dir': '/home/zy/data/datasets/azurefunctions-dataset2019/azure_v1.pkl'}	5	3600	mp-search-sep	ModelPlacement(group_configs=(ParallelConfig(dp=1, op=1, pp=1), ParallelConfig(dp=1, op=1, pp=1), ParallelConfig(dp=1, op=1, pp=1), ParallelConfig(dp=1, op=1, pp=1)), group_models=((1, 5), (2, 4, 5, 11), (2, 5, 9), (4, 5, 9, 10)))	0.282	simulate	6.195
goodput_vs_num_devices	12	2	4	4	13958643712	-1	None	azure_v1	{'rate_scale': 0.005, 'cv_scale': 4, 'trace_dir': '/home/zy/data/datasets/azurefunctions-dataset2019/azure_v1.pkl'}	5	3600	sr-replace-600	ModelPlacementWithReplacement(num_segments=6)	0.268	simulate	0.268
goodput_vs_num_devices	12	2	8	4	13958643712	-1	None	azure_v1	{'rate_scale': 0.005, 'cv_scale': 4, 'trace_dir': '/home/zy/data/datasets/azurefunctions-dataset2019/azure_v1.pkl'}	5	3600	mp-search-sep	ModelPlacement(group_configs=(ParallelConfig(dp=1, op=1, pp=2), ParallelConfig(dp=1, op=1, pp=2), ParallelConfig(dp=1, op=1, pp=2), ParallelConfig(dp=1, op=1, pp=2)), group_models=((0, 4, 5, 9, 10), (1, 2, 3, 4, 5), (2, 5, 7, 9, 11), (4, 5, 6, 9, 10)))	0.568	simulate	6.935
goodput_vs_num_devices	12	2	8	4	13958643712	-1	None	azure_v1	{'rate_scale': 0.005, 'cv_scale': 4, 'trace_dir': '/home/zy/data/datasets/azurefunctions-dataset2019/azure_v1.pkl'}	5	3600	sr-replace-600	ModelPlacementWithReplacement(num_segments=6)	0.519	simulate	0.401
goodput_vs_num_devices	12	2	12	4	13958643712	-1	None	azure_v1	{'rate_scale': 0.005, 'cv_scale': 4, 'trace_dir': '/home/zy/data/datasets/azurefunctions-dataset2019/azure_v1.pkl'}	5	3600	mp-search-sep	ModelPlacement(group_configs=(ParallelConfig(dp=1, op=1, pp=2), ParallelConfig(dp=1, op=1, pp=2), ParallelConfig(dp=1, op=1, pp=2), ParallelConfig(dp=1, op=1, pp=2), ParallelConfig(dp=1, op=1, pp=2), ParallelConfig(dp=1, op=1, pp=2)), group_models=((0, 2, 3, 5), (1, 2, 3, 4, 5), (1, 4, 5, 9, 10, 11), (2, 4, 5, 7, 10, 11), (4, 5, 6, 9, 11), (5, 6, 8, 9)))	0.777	simulate	4.632
goodput_vs_num_devices	12	2	12	4	13958643712	-1	None	azure_v1	{'rate_scale': 0.005, 'cv_scale': 4, 'trace_dir': '/home/zy/data/datasets/azurefunctions-dataset2019/azure_v1.pkl'}	5	3600	sr-replace-600	ModelPlacementWithReplacement(num_segments=6)	0.696	simulate	0.587
goodput_vs_num_devices	12	2	16	4	13958643712	-1	None	azure_v1	{'rate_scale': 0.005, 'cv_scale': 4, 'trace_dir': '/home/zy/data/datasets/azurefunctions-dataset2019/azure_v1.pkl'}	5	3600	mp-search-sep	ModelPlacement(group_configs=(ParallelConfig(dp=1, op=1, pp=4), ParallelConfig(dp=1, op=1, pp=4), ParallelConfig(dp=1, op=1, pp=4), ParallelConfig(dp=1, op=1, pp=4)), group_models=((0, 1, 2, 4, 5, 8, 9, 10, 11), (0, 3, 4, 5, 6, 8, 9, 10, 11), (1, 2, 3, 4, 5, 7, 8, 9, 10, 11), (2, 3, 4, 5, 6, 7, 9, 10, 11)))	0.924	simulate	32.341
goodput_vs_num_devices	12	2	16	4	13958643712	-1	None	azure_v1	{'rate_scale': 0.005, 'cv_scale': 4, 'trace_dir': '/home/zy/data/datasets/azurefunctions-dataset2019/azure_v1.pkl'}	5	3600	sr-replace-600	ModelPlacementWithReplacement(num_segments=6)	0.817	simulate	0.774
goodput_vs_num_devices	12	2	20	4	13958643712	-1	None	azure_v1	{'rate_scale': 0.005, 'cv_scale': 4, 'trace_dir': '/home/zy/data/datasets/azurefunctions-dataset2019/azure_v1.pkl'}	5	3600	mp-search-sep	ModelPlacement(group_configs=(ParallelConfig(dp=1, op=1, pp=4), ParallelConfig(dp=1, op=1, pp=4), ParallelConfig(dp=1, op=1, pp=4), ParallelConfig(dp=1, op=1, pp=4), ParallelConfig(dp=1, op=1, pp=4)), group_models=((0, 1, 2, 4, 5, 8, 9, 10, 11), (0, 1, 4, 5, 6, 8, 10), (1, 2, 3, 4, 5, 7, 8, 9, 10, 11), (1, 2, 3, 4, 5, 7, 8, 9, 10, 11), (2, 3, 4, 5, 6, 7, 8, 9, 10)))	0.975	simulate	9.638
goodput_vs_num_devices	12	2	20	4	13958643712	-1	None	azure_v1	{'rate_scale': 0.005, 'cv_scale': 4, 'trace_dir': '/home/zy/data/datasets/azurefunctions-dataset2019/azure_v1.pkl'}	5	3600	sr-replace-600	ModelPlacementWithReplacement(num_segments=6)	0.893	simulate	1.034
