exp_name	num_models	model_groups_num	num_devices	num_devices_per_node	mem_budget	total_rate	rate_distribution	arrival_process	arrival_process_kwargs	slo_scale	duration	policy_name	placement	goodput	mode	solver_time
goodput_vs_rate_scale	12	2	12	4	13958643712	-1	None	azure_v1	{'rate_scale': 0.001, 'cv_scale': 4, 'trace_dir': '/home/zy/data/datasets/azurefunctions-dataset2019/azure_v1.pkl'}	5	3600	mp-search-sep	ModelPlacement(group_configs=(ParallelConfig(dp=1, op=1, pp=4), ParallelConfig(dp=1, op=1, pp=4), ParallelConfig(dp=1, op=1, pp=4)), group_models=((0, 3, 4, 5, 7, 8, 9, 10, 11), (1, 2, 3, 4, 5, 6, 9, 10, 11), (1, 2, 4, 5, 6, 8, 9, 10, 11)))	0.981	simulate	5.865
goodput_vs_rate_scale	12	2	12	4	13958643712	-1	None	azure_v1	{'rate_scale': 0.001, 'cv_scale': 4, 'trace_dir': '/home/zy/data/datasets/azurefunctions-dataset2019/azure_v1.pkl'}	5	3600	sr-replace-600	ModelPlacementWithReplacement(num_segments=6)	0.879	simulate	0.293
goodput_vs_rate_scale	12	2	12	4	13958643712	-1	None	azure_v1	{'rate_scale': 0.003, 'cv_scale': 4, 'trace_dir': '/home/zy/data/datasets/azurefunctions-dataset2019/azure_v1.pkl'}	5	3600	mp-search-sep	ModelPlacement(group_configs=(ParallelConfig(dp=1, op=1, pp=4), ParallelConfig(dp=1, op=1, pp=4), ParallelConfig(dp=1, op=1, pp=4)), group_models=((0, 2, 3, 4, 5, 7, 8, 9, 11), (1, 2, 3, 4, 5, 6, 9, 10, 11), (1, 4, 5, 6, 7, 8, 9, 10)))	0.925	simulate	3.174
goodput_vs_rate_scale	12	2	12	4	13958643712	-1	None	azure_v1	{'rate_scale': 0.003, 'cv_scale': 4, 'trace_dir': '/home/zy/data/datasets/azurefunctions-dataset2019/azure_v1.pkl'}	5	3600	sr-replace-600	ModelPlacementWithReplacement(num_segments=6)	0.792	simulate	0.478
goodput_vs_rate_scale	12	2	12	4	13958643712	-1	None	azure_v1	{'rate_scale': 0.005, 'cv_scale': 4, 'trace_dir': '/home/zy/data/datasets/azurefunctions-dataset2019/azure_v1.pkl'}	5	3600	mp-search-sep	ModelPlacement(group_configs=(ParallelConfig(dp=1, op=1, pp=2), ParallelConfig(dp=1, op=1, pp=2), ParallelConfig(dp=1, op=1, pp=2), ParallelConfig(dp=1, op=1, pp=2), ParallelConfig(dp=1, op=1, pp=2), ParallelConfig(dp=1, op=1, pp=2)), group_models=((0, 2, 3, 5), (1, 2, 3, 4, 5), (1, 4, 5, 9, 10, 11), (2, 4, 5, 7, 10, 11), (4, 5, 6, 9, 11), (5, 6, 8, 9)))	0.777	simulate	5.147
goodput_vs_rate_scale	12	2	12	4	13958643712	-1	None	azure_v1	{'rate_scale': 0.005, 'cv_scale': 4, 'trace_dir': '/home/zy/data/datasets/azurefunctions-dataset2019/azure_v1.pkl'}	5	3600	sr-replace-600	ModelPlacementWithReplacement(num_segments=6)	0.696	simulate	0.66
goodput_vs_rate_scale	12	2	12	4	13958643712	-1	None	azure_v1	{'rate_scale': 0.007, 'cv_scale': 4, 'trace_dir': '/home/zy/data/datasets/azurefunctions-dataset2019/azure_v1.pkl'}	5	3600	mp-search-sep	ModelPlacement(group_configs=(ParallelConfig(dp=1, op=1, pp=2), ParallelConfig(dp=1, op=1, pp=2), ParallelConfig(dp=1, op=1, pp=2), ParallelConfig(dp=1, op=1, pp=2), ParallelConfig(dp=1, op=1, pp=2), ParallelConfig(dp=1, op=1, pp=2)), group_models=((0, 4, 5, 9, 11), (1, 2, 4, 5, 9), (1, 5, 8, 9, 10), (2, 4, 5, 7, 10, 11), (3, 4, 5, 6, 11), (4, 5, 6, 9, 10)))	0.614	simulate	6.716
goodput_vs_rate_scale	12	2	12	4	13958643712	-1	None	azure_v1	{'rate_scale': 0.007, 'cv_scale': 4, 'trace_dir': '/home/zy/data/datasets/azurefunctions-dataset2019/azure_v1.pkl'}	5	3600	sr-replace-600	ModelPlacementWithReplacement(num_segments=6)	0.603	simulate	0.798
goodput_vs_rate_scale	12	2	12	4	13958643712	-1	None	azure_v1	{'rate_scale': 0.009, 'cv_scale': 4, 'trace_dir': '/home/zy/data/datasets/azurefunctions-dataset2019/azure_v1.pkl'}	5	3600	mp-search-sep	ModelPlacement(group_configs=(ParallelConfig(dp=1, op=1, pp=1), ParallelConfig(dp=1, op=1, pp=1), ParallelConfig(dp=1, op=1, pp=1), ParallelConfig(dp=1, op=1, pp=1), ParallelConfig(dp=1, op=1, pp=1), ParallelConfig(dp=1, op=1, pp=1), ParallelConfig(dp=1, op=1, pp=1), ParallelConfig(dp=1, op=1, pp=1), ParallelConfig(dp=1, op=1, pp=1), ParallelConfig(dp=1, op=1, pp=1), ParallelConfig(dp=1, op=1, pp=1), ParallelConfig(dp=1, op=1, pp=1)), group_models=((1, 5), (1, 5), (1, 10), (2, 4, 5, 11), (2, 4, 9), (2, 5, 9), (2, 9, 10), (3, 9, 10), (4, 5, 8, 11), (4, 5, 9, 10), (4, 5, 9, 11), (5, 7)))	0.494	simulate	8.376
goodput_vs_rate_scale	12	2	12	4	13958643712	-1	None	azure_v1	{'rate_scale': 0.009, 'cv_scale': 4, 'trace_dir': '/home/zy/data/datasets/azurefunctions-dataset2019/azure_v1.pkl'}	5	3600	sr-replace-600	ModelPlacementWithReplacement(num_segments=6)	0.52	simulate	0.984
